ds,y,NH Budget,CLIENT FORCAST S1,Production Calendar,Customer Calendar,Customer Consumption Last 12 week,Stock Plant : TIC Tool,HC DIRECT,HC INDIRECT,ABS P,ABS NP,FLUCTUATION
2022-01-05,32393.36703333335,27118.29658744939,26752.6392,4.2,2.0,4349732.236,1355818.0,1073,137,0.1138301652892562,0.04850805785123969,0.0
2022-01-12,34340.39773333335,28748.26472052851,36147.2821,4.2,4.55,3358129.319,1064038.0,1053,137,0.1124483193277311,0.03635651260504202,0.02459016393442623
2022-01-19,29601.83931666666,24781.35283983727,35250.44002,4.2,5.05,3798997.02,1064660.0,1065,137,0.1301844841930117,0.04141680532445923,0.005789909015715467
2022-01-26,35998.42531425826,30136.29220292716,34308.18502,4.2,5.05,4224592.946,1143409.0,1063,137,0.08044916666666663,0.04373625,0.008264462809917356
2022-02-02,27731.70048333333,27715.77281873128,37059.85967,4.2,5.05,4188380.794,1197153.0,1051,137,0.1086969696969697,0.04573021885521885,0.01246882793017456
2022-02-09,32573.16670000001,32554.45834583557,38641.33748,5.5,5.0,3922711.285,1165991.0,1046,136,0.08700909475465304,0.04542787648054147,0.006722689075630253
2022-02-16,30873.95100000001,30856.21858807079,40199.58483,4.2,4.7,4282514.951,1328606.0,1071,136,0.1365927873779113,0.03464519158527422,0.0
2022-02-23,33583.73900508549,33564.45023008673,34194.2799,3.9,5.05,4341605.543,1400365.0,1110,135,0.163559437751004,0.04606425702811243,0.004796163069544364
2022-03-02,14437.17468333333,20046.68285122056,32235.11442,5.0,5.05,4911758.638,1436534.0,1107,135,0.4051996779388084,0.04577395330112722,0.004807692307692308
2022-03-09,17344.90893333333,24084.20595417739,34665.07922,2.3,5.0,5190706.052,1595260.0,1102,135,0.4474498787388842,0.03159498787388844,0.0032232070910556
2022-03-16,24661.5404,34243.68616887979,34010.94047,3.9,5.05,5155014.054,1614800.0,1104,135,0.2776301452784504,0.03684322033898306,0.0
2022-03-23,26400.63335,36658.49693221358,34395.02055,4.2,5.0,5541245.115,1714488.0,1101,134,0.2174463562753038,0.03931396761133603,0.004032258064516129
2022-03-30,17788.89228333336,24700.69731096258,46951.0733,3.9,4.4,7120694.086,1702929.0,1095,134,0.2258588283157038,0.04203559804719285,0.004858299595141701
2022-04-06,41873.99296666667,41833.5774345536,29100.828,5.25,4.4,6011098.003,1652264.0,1092,133,0.06113612244897963,0.04539265306122447,0.006488240064882401
2022-04-13,30189.6191,30160.48097789187,20586.4806,3.8,5.0,6109817.332,1873203.0,1083,131,0.1403420510708403,0.03851276771004943,0.005733005733005733
2022-04-20,26145.69173333333,26120.45668959847,23102.74723,0.0,5.0,6095902.617,2067655.0,1080,130,0.1549935950413221,0.04638946280991736,0.00165016501650165
2022-04-27,16307.33636605543,16291.59701019544,51963.3264,0.0,4.8,5775320.364,1964832.0,1082,138,0.501320081967213,0.03036639344262294,0.002452984464431725
2022-05-04,10153.39151666667,14087.57075036095,25366.17578,5.0,4.95,5522371.854,1632293.0,1082,138,0.2972334016393443,0.02896188524590164,0.000819000819000819
2022-05-11,25794.22444999999,35788.82595963967,24329.70805,5.0,3.45,4943998.157,1229934.0,1076,138,0.1525617792421746,0.04108875617792421,0.004918032786885246
2022-05-18,23050.78506666667,31982.37406141494,24286.99847,5.0,4.05,4951224.382,1430594.0,1069,138,0.2028227009113506,0.05064229494614749,0.007401315789473684
2022-05-25,36881.36946887778,51171.95578542915,18591.48217,5.0,2.05,4900963.57,1417639.0,1062,139,0.2053751040799334,0.04446024146544545,0.005794701986754967
2022-06-01,13758.85035,12035.27261935771,50068.09983,5.1,2.8,5113524.627,1564114.0,1058,135,0.2123937552388934,0.04065905280804694,0.005833333333333334
2022-06-08,27469.80935,24028.65326091955,22467.6901,5.1,4.51,5367194.773,1509391.0,1046,135,0.1307595258255714,0.04962150719729043,0.005892255892255892
2022-06-15,27558.68366666666,24106.39424964557,19215.68492,5.25,4.91,4942148.103,1056668.0,1036,136,0.1015616467576792,0.04116040955631399,0.007620660457239628
2022-06-22,27812.28359999999,24328.22559865196,25479.82508,5.25,5.01,4838724.984,1570821.0,1036,136,0.06734854948805453,0.04525682593856655,0.003401360544217687
2022-06-29,22389.96836666662,19585.16637486563,20375.46575,5.25,4.6,4788251.386,1514581.0,1036,135,0.09454654141759186,0.05803608027327069,0.0008532423208191126
2022-07-06,25040.39,33193.07141978462,9896.4001,5.25,4.55,4928758.092,1581197.0,1033,134,0.332333333333333,0.04981019708654669,0.005115089514066497
2022-07-13,12165.30018333333,16126.09379600327,22732.19652,4.2,4.91,4951280.717,1443436.0,1029,134,0.5711764832330181,0.05280180567497851,0.003427592116538132
2022-07-20,28961.90358333334,38391.35628856019,16210.14667,5.75,4.65,4925967.393,1034743.0,993,129,0.07278875968992247,0.01574031007751938,0.0
2022-07-27,20852.76882591794,27642.0393188346,16341.41047,4.8,4.06,5603551.249,1522224.0,972,129,0.1256141975308641,0.0555974794238683,0.002053388090349076
2022-08-03,23219.56895,20348.53842724993,8784.328017,3.0,2.1,5923388.425,1399221.0,966,130,0.1914548357664234,0.05746875,0.004541326067211626
2022-08-10,13777.74085,12074.16424183517,15777.69825,0.0,1.6,6004760.398,1529784.0,962,129,0.5031924839596701,0.03486319890009166,0.001829826166514181
2022-08-17,0.0,0.0,32205.4593,0.0,2.4,6091110.583,1594346.0,959,129,0.4415726102941169,0.01875,0.0009182736455463728
2022-08-24,28856.69738333333,25288.6527244633,24316.31453,5.25,4.65,5651121.552,1390848.0,963,129,0.06863343717549325,0.05018328141225338,0.003105590062111801
2022-08-31,16984.01759726707,14883.99442174305,29131.15162,5.25,5.0,5923327.242,1722963.0,952,129,0.1848686974789915,0.05515047268907564,0.008333333333333333
2022-09-07,38107.34405,39384.79804595185,29435.8351,5.25,5.0,6079303.116,1705286.0,970,127,0.07984793814432986,0.05856314432989691,0.003083247687564234
2022-09-14,22247.21571666667,22992.99832956064,30819.11308,4.0,5.0,6118940.919,1764486.0,954,127,0.2555154612159328,0.05775471698113209,0.01037344398340249
2022-09-21,26507.52378333333,27396.12263544378,28195.22573,5.1,5.0,5798036.407,1896944.0,950,128,0.1196963157894737,0.04950526315789473,0.001051524710830704
2022-09-28,24234.24174567902,25046.63446757172,28285.69942,5.1,4.9,6095945.444,1626314.0,948,129,0.1524145569620253,0.04539425105485233,0.004201680672268907
2022-10-05,26507.52378333333,28529.07760043424,29135.60192,5.0,4.8,6099700.339,1430322.0,953,129,0.09415434380776341,0.0462761090573013,0.0009233610341643582
2022-10-12,26551.6821,28576.60358034792,27851.66338,5.1,4.45,6533781.456,1593518.0,957,129,0.1070688305709023,0.05893139963167587,0.001838235294117647
2022-10-19,23066.63233333333,24825.77207879807,43463.04937,5.0,4.55,6447841.363,1491836.0,951,129,0.09498935185185191,0.04595763888888889,0.003690036900369004
2022-10-26,22053.37936415038,23735.24499588486,27897.15258,3.5,4.81,6346557.729,1461060.0,945,128,0.2798215284249766,0.03378448275862069,0.003714020427112349
2022-11-02,21001.28201666667,18914.82705500708,24646.68048,3.25,4.25,6263788.371,1259204.0,932,128,0.2649287735849059,0.03601650943396226,0.004694835680751174
2022-11-09,29011.84011666667,26129.54475439994,25331.75107,5.25,5.05,6259090.645,1233872.0,932,128,0.08217523584905659,0.04574009433962264,0.001883239171374765
2022-11-16,27691.88188333334,24940.72296325791,37805.04922,5.25,4.9,6888958.289,618655.0,931,128,0.09652644003777153,0.04034135977337111,0.001885014137606032
2022-11-23,27442.30103333333,24715.93770442251,23766.38427,5.25,5.0,6948944.386,1295528.0,930,127,0.1701617786187322,0.03594228949858089,0.0
2022-11-30,15803.84311513053,14233.74816308496,19748.89172,5.1,5.0,6816889.843,1199959.0,928,127,0.1835170616113744,0.03637369668246446,0.001892147587511826
2022-12-07,34307.0491,69183.02086934698,16591.3422,5.0,4.85,7141760.102,1559782.0,930,127,0.3017909176915797,0.03435099337748344,0.0
2022-12-14,9513.839676636402,19185.44981755243,2410.0278,0.0,5.1,6831027.481,1311245.0,931,127,0.6270905009451802,0.01319706994328923,0.0009442870632672333
2022-12-21,0.0,0.0,56725.11207,0.0,2.05,6416810.766,988337.0,932,128,0.9805405660377359,0.00715566037735849,0.0
2022-12-28,0.0,0.0,0.0,0.0,0.8,0.0,0.0,913,126,0.9814966313763234,0.007892204042348413,0.0
2023-01-04,26170.89061666666,19018.48890152269,15998.0,5.5,2.0,5243117.643,871571.3896,913,126,0.1902918671799808,0.0581653031761309,0.0
2023-01-11,31968.66181666667,23231.75198209004,15184.0,5.25,3.0,5523555.35,1276446.367,904,127,0.08235669253152277,0.05996265761396703,0.005785920925747349
2023-01-18,31258.42576666666,22715.62065770232,25467.0,5.25,4.909090909090909,5749870.572,1507209.446,899,127,0.06051218323586742,0.05244517543859649,0.002915451895043732
2023-01-25,37550.55884999993,27288.13845868495,27511.0,5.2,4.909090909090909,5922219.44,1515001.063,899,127,0.08951924951267053,0.08332553606237816,0.0
2023-02-01,16767.0,18922.25962648976,26615.0,5.0,4.863636363636363,6016496.153,1535830.422,897,127,0.09580273437499999,0.11715869140625,0.003891050583657588
2023-02-08,30298.0,34192.55812986144,27097.0,5.5,4.409090909090909,5709703.484,1456971.642,896,127,0.0744411045943303,0.07407111436950145,0.0009765625
2023-02-15,29561.0,33360.82285552954,33591.0,4.5,0.0,5553895.895,1530725.523,895,127,0.09957460861056747,0.05329867906066536,0.001953125
2023-02-22,45262.0,51080.05696989203,29629.0,4.75,3.636363636363636,5215385.391,1563183.015,893,127,0.170966176470588,0.04080612745098039,0.001956947162426614
2023-03-01,17328.59978037556,18267.85111555887,29943.0,4.5,3.5,5160456.31,1541200.623,889,127,0.1194451279527559,0.04645743110236221,0.0009832841691248771
2023-03-08,33365.93972798493,35174.45304333352,27194.0,5.0,4.590909090909091,5441169.405,1524039.087,885,127,0.06058992094861663,0.04166971343873518,0.0009871668311944718
2023-03-15,33967.28116207231,35808.38861382118,26121.0,5.0,4.818181818181818,5894626.683,1600079.953,883,126,0.05954831516352826,0.03181466798810704,0.0009900990099009901
2023-03-22,28401.04875367307,29940.45316606556,24748.0,4.0,4.272727272727272,6540769.319,1625608.457,882,126,0.04284027777777778,0.03073635912698413,0.002967359050445104
2023-03-29,30563.2530327267,32219.85406122087,45136.0,5.0,4.863636363636363,6979119.553,1506706.509,881,126,0.06279270109235353,0.04598982125124131,0.000992063492063492
2023-04-05,37116.78041871696,36679.3659980876,17281.0,5.0,3.954545454545455,7544233.613,1574316.401,878,126,0.03862250996015937,0.05869995019920318,0.00297914597815293
2023-04-12,35702.95036299282,35282.19766915432,19027.0,5.0,4.954545454545454,7767796.217,1788221.047,871,125,0.03892093373493974,0.05504794176706827,0.004
2023-04-19,19887.00099477964,19652.63635107793,20532.0,3.0,2.272727272727273,7971079.487,2013718.435,868,126,0.2913747484909455,0.04127867203219316,0.003009027081243731
2023-04-26,28643.35666409616,28305.79998168015,26062.0,4.0,2.0,7541254.109,1610414.872,889,128,0.218243854473943,0.04115216322517207,0.0009823182711198428
2023-05-03,29067.09936400297,24751.09499062177,44793.0,4.0,4.363636363636363,8093075.451,1515641.615,888,128,0.04045989173228347,0.05579478346456694,0.00392156862745098
2023-05-10,35422.67132320406,30162.96506792057,23105.0,5.0,5.0,7895569.621,1496274.17,931,128,0.04064542020774316,0.05900684608120869,0.003762935089369708
2023-05-17,35488.29936666667,30218.84838525642,17534.0,5.0,4.545454545454546,7921968.654,1505347.685,938,128,0.05331683864915572,0.04517424953095685,0.005597014925373134
2023-05-24,36656.388443915,31213.49471533659,20122.0,5.5,5.0,8030110.184,1635677.173,939,129,0.03689817415730334,0.03689044943820224,0.002801120448179272
2023-05-31,21629.18923879543,18417.59684086465,48184.0,5.5,0.05,7870876.749,1586673.706,953,129,0.04387985212569317,0.04721256931608133,0.005514705882352942
2023-06-07,50544.42117889844,58235.46294078633,18614.0,5.3,4.9,7916722.867,1789457.891,952,130,0.05112292051756012,0.03838955637707948,0.009157509157509158
2023-06-14,36112.77183333333,41607.83597354056,22784.0,5.3,4.95,8537726.334,1992279.676,944,130,0.0479892923649907,0.04328119180633147,0.007393715341959334
2023-06-21,36841.71763057468,42447.70108567311,30302.0,6.25,4.95,8281864.489,1988685.097,941,130,0.04967717086834738,0.03137254901960784,0.001863932898415657
2023-06-28,0.0,0.0,77392.0,0.0,4.9,8507728.17,2003848.412,941,130,0.5785562558356676,0.01493930905695611,0.0
2023-07-05,31959.43659145853,38117.38548156415,8339.0,5.0,0.7,7601334.726,1265878.164,942,130,0.09613456156716423,0.04395708955223881,0.0
2023-07-12,31931.35657654969,38083.89500529917,5447.0,5.0,2.8,7664201.543,1480331.654,931,129,0.0752719339622641,0.04834504716981132,0.01167728237791932
2023-07-19,28808.93096666666,34359.83997482881,8851.0,4.0,2.0,8064977.311,1404095.879,928,129,0.05761258278145696,0.0360042573320719,0.00322234156820623
2023-07-26,28569.16807833644,34073.87953830788,7674.0,4.0,1.8,7754596.77,1374639.341,921,129,0.2470023809523811,0.02872928571428572,0.006622516556291391
2023-08-02,0.0,0.0,20389.0,0.0,3.9,7499116.988,1354288.596,913,129,0.536442898272552,0.01719265834932822,0.0009587727708533077
2023-08-09,0.0,0.0,5577.0,0.0,3.5,6631430.969,1144804.451,911,130,0.9104870317002882,0.01017098943323727,0.0
2023-08-16,13231.6761189319,9089.683661371673,8604.0,2.0,0.95,5873738.682,1098510.871,909,130,0.5278657362848895,0.02374013474494706,0.0009615384615384616
2023-08-23,32295.66691523252,22185.95688511968,19810.0,5.0,5.1,5570708.608,1144214.692,907,130,0.07895617420066156,0.04601957001102536,0.01049618320610687
2023-08-30,25684.55166454161,17644.35945350864,91328.0,5.0,5.1,6055771.939,1653932.766,899,130,0.05757119021134591,0.06193659621802002,0.008670520231213872
2023-09-06,41191.61981264513,42376.16965873327,9586.0,5.0,5.05,5999504.267,2027829.468,891,130,0.07157933398628795,0.0496900097943193,0.004873294346978557
